dataset,run_name,experiment_name,run_dir,run_mtime,scene_id,ckpt_from_name,sample_rate_from_name,n_views_from_name,submap_every_from_name,profile_from_name,parse_pattern,test_metrics_file,test_output_label,test_protocol,use_legacy_test_output,run_key,analysis_key,test_variant_rank,split,frame_id,frame_index,lpips,psnr,ssim
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,test,0065,65,0.702844500541687,10.636301040649414,0.23084838688373566
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,test,0075,75,0.7033936977386475,10.303153991699219,0.2662649154663086
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,test,0085,85,0.7386324405670166,10.046857833862305,0.22663140296936035
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,test,0095,95,0.6917084455490112,11.458953857421875,0.2636134922504425
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,test,0105,105,0.37403804063796997,21.7303466796875,0.6795955300331116
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,test,0115,115,0.738395631313324,6.977776527404785,0.05379107967019081
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,test,0125,125,0.6509866714477539,8.453391075134277,0.36919543147087097
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,train,0000,0,0.11277836561203003,38.104496002197266,0.9767187833786011
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,train,0011,11,0.04683190584182739,47.963348388671875,0.9923547506332397
405841,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,1774793879.8595912,C,dl3dv,10,12,,,fallback,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled,1,train,0022,22,0.03727161884307861,45.81493377685547,0.9930998086929321
