setting,model,ours_40000.PSNR,ours_40000.SSIM,ours_40000.LPIPS
planA_colmap_96,3dgs,32.01252301534017,0.9467960000038147,0.09088173632820444
planA_colmap_96,scaffold,33.37898317972819,0.9556408127148946,0.07980998481313382
planA_colmap_full,3dgs,34.231937408447266,0.9603457649548849,0.07867640505234397
planA_colmap_full,scaffold,34.368462880452476,0.9609272678693136,0.07852394506335253
planB_vggt_96,3dgs,29.922805786132812,0.9176402489344279,0.11483931541442867
planB_vggt_96,scaffold,29.97018051147461,0.9185727039972941,0.11634848515192664
