series,split,iteration,L1,PSNR
PlanA-279_3DGS,test,2000,0.01818203737160989,30.267918395996094
PlanA-279_3DGS,test,4000,0.015158777737191745,32.00535420009068
PlanA-279_3DGS,test,6000,0.013424210197159222,32.98225860595703
PlanA-279_3DGS,test,8000,0.012830752107713903,33.41424620492118
PlanA-279_3DGS,test,10000,0.013185225214276994,33.39841586521693
PlanA-279_3DGS,test,12000,0.012212507905704634,33.88995541163853
PlanA-279_3DGS,test,14000,0.012174643762409686,33.98028106689453
PlanA-279_3DGS,test,16000,0.011789736204913684,34.163309587751115
PlanA-279_3DGS,test,18000,0.011364083843571798,34.54374891008649
PlanA-279_3DGS,test,20000,0.011325110947447163,34.667624664306636
PlanA-279_3DGS,test,22000,0.01118937007018498,34.6980099269322
PlanA-279_3DGS,test,24000,0.011063061840832233,34.816607992989674
PlanA-279_3DGS,test,26000,0.01098241058311292,34.8538710457938
PlanA-279_3DGS,test,28000,0.010934965791446821,34.939105660574775
PlanA-279_3DGS,test,30000,0.010817695116358144,34.96817169189453
PlanA-279_3DGS,test,32000,0.01085901042180402,34.95908039637974
PlanA-279_3DGS,test,34000,0.010886438137718609,35.00089285714286
PlanA-279_3DGS,test,36000,0.010861366135733469,34.97947425842285
PlanA-279_3DGS,test,38000,0.010674931720963546,35.11190365382603
PlanA-279_3DGS,test,40000,0.010601852435086455,35.16890117100307

PlanA-279_3DGS,train,2000,0.016470379754900934,30.724610900878908
PlanA-279_3DGS,train,4000,0.01367470119148493,32.59229049682617
PlanA-279_3DGS,train,6000,0.013053357414901257,32.97333221435547
PlanA-279_3DGS,train,8000,0.0127463236451149,33.36259422302246
PlanA-279_3DGS,train,10000,0.012680094130337239,33.53190460205078
PlanA-279_3DGS,train,12000,0.011791102401912213,34.16701431274414
PlanA-279_3DGS,train,14000,0.011648854240775108,34.12012405395508
PlanA-279_3DGS,train,16000,0.011349547840654851,34.60591278076172
PlanA-279_3DGS,train,18000,0.011414458975195885,34.395363616943364
PlanA-279_3DGS,train,20000,0.01114383675158024,34.668713378906254
PlanA-279_3DGS,train,22000,0.01131319385021925,34.62967376708985
PlanA-279_3DGS,train,24000,0.011207781173288823,34.687879943847655
PlanA-279_3DGS,train,26000,0.010741870105266572,34.916429901123045
PlanA-279_3DGS,train,28000,0.010651044175028802,35.12339477539063
PlanA-279_3DGS,train,30000,0.010789399407804013,35.000927734375004
PlanA-279_3DGS,train,32000,0.01063777580857277,35.14461441040039
PlanA-279_3DGS,train,34000,0.010611445829272271,35.1697265625
PlanA-279_3DGS,train,36000,0.010648902691900731,35.14226455688477
PlanA-279_3DGS,train,38000,0.010569566488265993,35.15013580322266
PlanA-279_3DGS,train,40000,0.010343101993203164,35.24353713989258

PlanA-96_3DGS,test,2000,0.021158389126261074,29.3468918800354
PlanA-96_3DGS,test,4000,0.01763168559409678,30.885422070821125
PlanA-96_3DGS,test,6000,0.015748319992174704,31.859341780344643
PlanA-96_3DGS,test,8000,0.01517443226960798,32.13565842310587
PlanA-96_3DGS,test,10000,0.014896568531791369,32.355008125305176
PlanA-96_3DGS,test,12000,0.014363450929522514,32.624077796936035
PlanA-96_3DGS,test,14000,0.014409088452036182,32.41244840621948
PlanA-96_3DGS,test,16000,0.01412251964211464,32.5445810953776
PlanA-96_3DGS,test,18000,0.014098006843899686,32.61500803629557
PlanA-96_3DGS,test,20000,0.013794127308453122,33.00223938624064
PlanA-96_3DGS,test,22000,0.013543790904805064,33.13033517201741
PlanA-96_3DGS,test,24000,0.013429165973017613,33.14045286178589
PlanA-96_3DGS,test,26000,0.013482290009657541,33.211903889973954
PlanA-96_3DGS,test,28000,0.013342455495148897,33.22526868184407
PlanA-96_3DGS,test,30000,0.013287877120698491,33.28290160497029
PlanA-96_3DGS,test,32000,0.01324147746587793,33.26525672276814
PlanA-96_3DGS,test,34000,0.013170226011425257,33.31266991297404
PlanA-96_3DGS,test,36000,0.013021139971291024,33.396603902180985
PlanA-96_3DGS,test,38000,0.013195478124544024,33.345494747161865
PlanA-96_3DGS,test,40000,0.01302713652451833,33.41201829910278

PlanA-96_3DGS,train,2000,0.018362115137279034,30.80238494873047
PlanA-96_3DGS,train,4000,0.013921822234988213,32.63513259887696
PlanA-96_3DGS,train,6000,0.012759206630289555,33.523284912109375
