iteration,PlanA279_3DGS_test_L1,PlanA279_3DGS_test_PSNR,PlanA279_3DGS_train_L1,PlanA279_3DGS_train_PSNR,PlanA96_3DGS_test_L1,PlanA96_3DGS_test_PSNR,PlanA96_3DGS_train_L1,PlanA96_3DGS_train_PSNR,PlanB96_3DGS_test_L1,PlanB96_3DGS_test_PSNR,PlanB96_3DGS_train_L1,PlanB96_3DGS_train_PSNR,PlanA96_ScaffoldGS_test_L1,PlanA96_ScaffoldGS_test_PSNR,PlanA96_ScaffoldGS_train_L1,PlanA96_ScaffoldGS_train_PSNR
2000,0.01818203737160989,30.267918395996094,0.016470379754900934,30.724610900878908,0.021158389126261074,29.3468918800354,0.018362115137279034,30.80238494873047,0.02591476279000441,27.32314920425415,0.021750335767865184,29.394491958618165,0.04085171967744827,24.555223782857258,0.02467864602804184,28.426811599731447
4000,0.015158777737191745,32.00535420009068,0.01367470119148493,32.59229049682617,0.01763168559409678,30.885422070821125,0.013921822234988213,32.63513259887696,0.021174640161916614,28.83454656600952,0.017239449732005595,31.06363868713379,0.038619934891661004,24.865110874176025,0.01709789261221886,31.874843215942384
6000,0.013424210197159222,32.98225860595703,0.013053357414901257,32.97333221435547,0.015748319992174704,31.859341780344643,0.012759206630289555,33.523284912109375,0.018548174838845927,30.022659142812092,0.015211277268826963,32.03415069580078,0.04264861127982537,23.956993579864502,0.013409885577857494,33.811031341552734
8000,0.012830752107713903,33.41424620492118,0.0127463236451149,33.36259422302246,0.01517443226960798,32.13565842310587,0.011811268329620362,34.22857398986817,0.01733780582435429,30.53529405593872,0.013461157307028772,33.20323715209961,0.04738289024680853,23.258374214172363,0.012334691360592842,34.635284423828125
10000,0.013185225214276994,33.39841586521693,0.012680094130337239,33.53190460205078,0.014896568531791369,32.355008125305176,0.011514270305633546,34.45012893676758,0.016772604237000145,30.777396996815998,0.012619630061089994,33.594594955444336,0.05217258756359418,22.55715799331665,0.01192045584321022,35.065730285644534
12000,0.012212507905704634,33.88995541163853,0.011791102401912213,34.16701431274414,0.014363450929522514,32.624077796936035,0.01092133726924658,34.956365966796874,0.015828084123010434,31.170548121134438,0.011714680306613446,34.16574478149414,0.05162422824651003,22.61384836832682,0.010960812307894231,35.66860580444336
14000,0.012174643762409686,33.98028106689453,0.011648854240775108,34.12012405395508,0.014409088452036182,32.41244840621948,0.01033825594931841,35.199362182617186,0.01580366639730831,31.34098768234253,0.010873867012560368,34.72871398925781,0.05347265396267176,22.331883589426674,0.009752864390611649,36.625606536865234
16000,0.011789736204913684,34.163309587751115,0.011349547840654851,34.60591278076172,0.01412251964211464,32.5445810953776,0.010336383432149888,35.236304473876956,0.0153246089660873,31.382898807525635,0.010749367810785771,34.8437126159668,0.05459748751794298,22.19560686747233,0.009643360786139966,36.62822265625
18000,0.011364083843571798,34.54374891008649,0.011414458975195885,34.395363616943364,0.014098006843899686,32.61500803629557,0.01022002398967743,35.29217987060547,0.015191749747221667,31.565737883249916,0.010568440705537797,34.91532745361328,0.054908877083410815,22.16316827138265,0.009102983586490155,37.177327728271486
20000,0.011325110947447163,34.667624664306636,0.01114383675158024,34.668713378906254,0.013794127308453122,33.00223938624064,0.0101316312327981,35.657988739013675,0.014981714698175589,31.692993481953938,0.010448428243398667,35.18677749633789,0.05543156278630097,22.083993434906006,0.009296943247318269,37.046592712402344
