iteration,PlanA279_3DGS_test_L1,PlanA279_3DGS_test_PSNR,PlanA279_3DGS_train_L1,PlanA279_3DGS_train_PSNR,PlanA96_3DGS_test_L1,PlanA96_3DGS_test_PSNR,PlanA96_3DGS_train_L1,PlanA96_3DGS_train_PSNR,PlanB96_3DGS_test_L1,PlanB96_3DGS_test_PSNR,PlanB96_3DGS_train_L1,PlanB96_3DGS_train_PSNR,PlanA96_ScaffoldGS_test_L1,PlanA96_ScaffoldGS_test_PSNR,PlanA96_ScaffoldGS_train_L1,PlanA96_ScaffoldGS_train_PSNR
22000,0.01118937007018498,34.6980099269322,0.01131319385021925,34.62967376708985,0.013543790904805064,33.13033517201741,0.009828241914510727,35.85801239013672,0.014699783486624558,31.8402361869812,0.010065045394003392,35.41473922729492,0.05707260003934304,21.920331796010334,0.008859439752995968,37.43484344482422
24000,0.011063061840832233,34.816607992989674,0.011207781173288823,34.687879943847655,0.013429165973017613,33.14045286178589,0.009572447277605534,36.04436492919922,0.014558538018415371,31.83976570765177,0.009858349151909352,35.645649719238286,0.05693632364273071,21.903872807820637,0.008834008127450943,37.43874435424805
26000,0.01098241058311292,34.8538710457938,0.010741870105266572,34.916429901123045,0.013482290009657541,33.211903889973954,0.00974665228277445,36.00086364746094,0.014495946777363617,31.999511877695717,0.010068385675549508,35.52773513793945,0.057892008839795984,21.820053418477375,0.008840329572558403,37.47593460083008
28000,0.010934965791446821,34.939105660574775,0.010651044175028802,35.12339477539063,0.013342455495148897,33.22526868184407,0.00932509582489729,36.32759170532227,0.0144869953704377,31.933563550313313,0.009613528847694397,35.94383239746094,0.05892753042280674,21.70245631535848,0.00821591643616557,38.0822639465332
30000,0.010817695116358144,34.96817169189453,0.010789399407804013,35.000927734375004,0.013287877120698491,33.28290160497029,0.009490738809108735,36.21563186645508,0.01431063733374079,32.037663777669266,0.009647182933986188,35.983726501464844,0.05907245197643836,21.687442779541016,0.008614558167755604,37.75341873168946
32000,0.01085901042180402,34.95908039637974,0.01063777580857277,35.14461441040039,0.01324147746587793,33.26525672276814,0.009272060170769692,36.34787292480469,0.014308305612454811,32.00618521372477,0.009548307023942472,35.972025299072264,0.05889120403056343,21.698790232340492,0.00835417490452528,37.93708190917969
34000,0.010886438137718609,35.00089285714286,0.010611445829272271,35.1697265625,0.013170226011425257,33.31266991297404,0.008900029584765434,36.62777938842773,0.01429903150225679,31.966144561767578,0.009167209081351758,36.30394592285156,0.05943014301980535,21.625118096669514,0.008552916906774044,37.90541152954102
36000,0.010861366135733469,34.97947425842285,0.010648902691900731,35.14226455688477,0.013021139971291024,33.396603902180985,0.009195537120103837,36.453842926025395,0.014216708795477945,31.956825733184814,0.009360477142035962,36.16680603027344,0.0591924504066507,21.6733873685201,0.008585782535374165,37.849562072753905
38000,0.010674931720963546,35.11190365382603,0.010569566488265993,35.15013580322266,0.013195478124544024,33.345494747161865,0.009552922658622266,36.166805267333984,0.014212626808633406,32.05549319585164,0.009907706268131734,35.775177001953125,0.05940040837352474,21.645009199778237,0.008121459186077118,38.286641693115236
40000,0.010601852435086455,35.16890117100307,0.010343101993203164,35.24353713989258,0.01302713652451833,33.41201829910278,0.00913469959050417,36.487935638427736,0.014068751440693934,32.12200053532918,0.00932584498077631,36.20682983398438,0.06086899743725856,21.487538973490395,0.008015372324734926,38.311937713623045
