dataset,num_runs,mean_train_avg_psnr,mean_test_avg_psnr,mean_psnr_drop_train_to_test,mean_train_avg_ssim,mean_test_avg_ssim,mean_ssim_drop_train_to_test,mean_train_avg_lpips,mean_test_avg_lpips,mean_lpips_increase_train_to_test,mean_ate_rmse,mean_ate_mean,total_train_frames,total_test_frames,ate_cross_dataset_comparison
405841,1,45.58909645080566,17.731713158743723,27.85738329206194,0.9912038177251816,0.5161130939211164,0.47509072380406525,0.05288361464627087,0.48142639228275846,0.42854277763648757,18.983081879828354,16.437941279561347,20,7,not_recommended
dl3dv_2,4,51.82949528694153,15.13043155670166,36.69906373023987,0.9991804294288158,0.4264916273454825,0.5726888020833334,0.001950497937559703,0.500176269436876,0.49822577149931624,2.36515111008971,2.0079437762856163,38,32,not_recommended
re10k_1,2,41.82151712311639,25.43157302008735,16.389944103029038,0.9970326510568459,0.888315384586652,0.10871726647019386,0.004595879709490368,0.13400188999043572,0.12940601028094534,0.009691167604478194,0.008984735364123433,17,15,not_recommended
