dataset,run_name,experiment_name,run_dir,run_mtime,scene_id,ckpt_from_name,sample_rate_from_name,n_views_from_name,submap_every_from_name,profile_from_name,parse_pattern,test_metrics_file,test_output_label,test_protocol,use_legacy_test_output,run_key,analysis_key,train_json_status,test_json_status,ate_json_status,train_avg_lpips,train_avg_psnr,train_avg_ssim,test_avg_lpips,test_avg_psnr,test_avg_ssim,n_train_frames,n_test_frames,test_variant_rank,ate_compared_pose_pairs,ate_rmse,ate_mean,ate_median,ate_std,ate_min,ate_max,psnr_drop_train_to_test,ssim_drop_train_to_test,lpips_increase_train_to_test,generalization_risk,ate_compare_scope,ate_compare_note
405841,reggs_405841_scene_full_dl3dv-ckpt_sr30_nv20_sm2_stable_v1,405841__reggs_405841_scene_full_dl3dv-ckpt_sr30_nv20_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/405841/reggs_405841_scene_full_dl3dv-ckpt_sr30_nv20_sm2_stable_v1,1775061583.3843527,full,dl3dv,30,20,2.0,stable_v1,405841_new,eval_test.json,sampled,sampled_test,True,405841__reggs_405841_scene_full_dl3dv-ckpt_sr30_nv20_sm2_stable_v1,405841__reggs_405841_scene_full_dl3dv-ckpt_sr30_nv20_sm2_stable_v1__test-sampled,ok,ok,ok,0.05288361464627087,45.58909645080566,0.9912038177251816,0.48142639228275846,17.731713158743723,0.5161130939211164,20,7,1,20.0,18.983081879828354,16.437941279561347,16.51174424057016,9.494813539294011,1.6384301100602578,39.29608143723055,27.85738329206194,0.47509072380406525,0.42854277763648757,high_gap,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
dl3dv_2,reggs_dl3dv2_dl3dv-ckpt_sr30_nv10,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr30_nv10,/home/bzhang512/CV_Project/output/part2/dl3dv_2/reggs_dl3dv2_dl3dv-ckpt_sr30_nv10,1775061215.6132147,main,dl3dv,30,10,,,fallback,eval_test.json,sampled,sampled_test,True,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr30_nv10,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr30_nv10__test-sampled,ok,ok,ok,0.0021294286125339568,51.77428016662598,0.9992089867591858,0.48079784065485,15.628807640075683,0.44249638020992277,10,10,1,10.0,2.3779371423718674,1.990844217695073,1.4313194452510745,1.3004323719216522,1.0862434488630492,5.3152239765571965,36.14547252655029,0.556712606549263,0.478668412042316,high_gap,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
dl3dv_2,reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm2_stable_v1,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm2_stable_v1,/home/bzhang512/CV_Project/output/part2/dl3dv_2/reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm2_stable_v1,1774804572.4704654,main,dl3dv,50,10,2.0,stable_v1,general_new,eval_test.json,sampled,sampled_test,True,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm2_stable_v1,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm2_stable_v1__test-sampled,ok,ok,ok,0.0026704782678280024,50.933285522460935,0.9989416897296906,0.5276270906130472,14.574976126352945,0.4039711356163025,10,6,1,10.0,2.30841344291814,1.9680230353527217,1.4314364183000197,1.206506508795639,1.0992205666285009,4.987842081649144,36.35830939610799,0.5949705541133881,0.5249566123452193,high_gap,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
dl3dv_2,reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm3_stable_v2_overfit,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm3_stable_v2_overfit,/home/bzhang512/CV_Project/output/part2/dl3dv_2/reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm3_stable_v2_overfit,1774860757.1406515,main,dl3dv,50,10,3.0,stable_v2_overfit,general_new,eval_test.json,sampled,sampled_test,True,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm3_stable_v2_overfit,dl3dv_2__reggs_dl3dv2_dl3dv-ckpt_sr50_nv10_sm3_stable_v2_overfit__test-sampled,ok,ok,ok,0.0016366123454645276,51.784955978393555,0.9992399990558625,0.5258239954710007,14.628930886586508,0.4125687579313914,10,6,1,10.0,2.448269509201322,2.1355535116083395,1.891122855128367,1.197261370270573,0.8721324589337679,5.146032385595033,37.156025091807045,0.586671241124471,0.5241873831255361,high_gap,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
dl3dv_2,reggs_dl3dv2_re10k-ckpt_sr30_nv8,dl3dv_2__reggs_dl3dv2_re10k-ckpt_sr30_nv8,/home/bzhang512/CV_Project/output/part2/dl3dv_2/reggs_dl3dv2_re10k-ckpt_sr30_nv8,1774650927.3857298,main,re10k,30,8,,,fallback,eval_test.json,sampled,sampled_test,True,dl3dv_2__reggs_dl3dv2_re10k-ckpt_sr30_nv8,dl3dv_2__reggs_dl3dv2_re10k-ckpt_sr30_nv8__test-sampled,ok,ok,ok,0.0013654725244123256,52.825459480285645,0.9993310421705246,0.46645615100860593,15.689011573791504,0.44693023562431333,8,10,1,8.0,2.325984345867509,1.9373543404863307,1.6262766394906683,1.2871912587566303,0.5519328379412075,4.996961531706842,37.13644790649414,0.5524008065462113,0.4650906784841936,high_gap,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
re10k_1,reggs_re10k1_re10k-ckpt_sr50_nv9_sm2_comparison_check,re10k_1__reggs_re10k1_re10k-ckpt_sr50_nv9_sm2_comparison_check,/home/bzhang512/CV_Project/output/part2/re10k_1/reggs_re10k1_re10k-ckpt_sr50_nv9_sm2_comparison_check,1775061320.3341281,main,re10k,50,9,2.0,comparison_check,general_new,eval_test.json,sampled,sampled_test,True,re10k_1__reggs_re10k1_re10k-ckpt_sr50_nv9_sm2_comparison_check,re10k_1__reggs_re10k1_re10k-ckpt_sr50_nv9_sm2_comparison_check__test-sampled,ok,ok,ok,0.004921343694958422,41.36800172593858,0.9967613021532694,0.12437371909618378,25.86117680867513,0.8974562585353851,9,6,1,9.0,0.008739328116729311,0.008313993068246614,0.00917311355199114,0.0026932090882444966,0.0023803396116273963,0.011125264779036428,15.506824917263454,0.09930504361788428,0.11945237540122536,high_gap,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
re10k_1,reggs_re10k1_sr30_nv8,re10k_1__reggs_re10k1_sr30_nv8,/home/bzhang512/CV_Project/output/part2/re10k_1/reggs_re10k1_sr30_nv8,1774601492.6961174,main,,30,8,,,general_old,eval_test.json,sampled,sampled_test,True,re10k_1__reggs_re10k1_sr30_nv8,re10k_1__reggs_re10k1_sr30_nv8__test-sampled,ok,ok,ok,0.004270415724022314,42.27503252029419,0.9973039999604225,0.14363006088468763,25.001969231499565,0.8791745106379191,8,9,1,8.0,0.010643007092227078,0.009655477660000251,0.009389103285508994,0.004477203493524938,0.0019742188094032404,0.017910025686922154,17.273063288794624,0.11812948932250344,0.13935964516066532,high_gap,within_dataset_only,ATE scale can differ by dataset. Compare ATE RMSE only within the same dataset.
