dataset,num_runs,mean_train_avg_psnr,mean_test_avg_psnr,mean_psnr_drop_train_to_test,mean_train_avg_ssim,mean_test_avg_ssim,mean_ssim_drop_train_to_test,mean_train_avg_lpips,mean_test_avg_lpips,mean_lpips_increase_train_to_test,mean_ate_rmse,mean_ate_mean,total_train_frames,total_test_frames,ate_cross_dataset_comparison
405841,1,49.94065475463867,19.048076629638672,30.892578125,0.9876660108566284,0.5611445903778076,0.4265214204788208,0.07966572558507323,0.5879881978034973,0.5083224722184241,0.6616531506994158,0.6121674309965616,4,2,not_recommended
dl3dv_2,1,52.825459480285645,15.689011573791504,37.13644790649414,0.9993310421705246,0.44693023562431333,0.5524008065462113,0.0013654725244123256,0.46645615100860593,0.4650906784841936,2.325984345867509,1.9373543404863307,8,10,not_recommended
re10k,1,42.27503252029419,25.001969231499565,17.273063288794624,0.9973039999604225,0.8791745106379191,0.11812948932250344,0.004270415724022314,0.14363006088468763,0.13935964516066532,0.010643007092227078,0.009655477660000251,8,9,not_recommended
