dataset,num_runs_total,num_runs_complete,num_runs_incomplete,before_mean_psnr_mean,after_mean_psnr_mean,psnr_gain_after_minus_before_mean,before_mean_lpips_mean,after_mean_lpips_mean,lpips_change_after_minus_before_mean,stats_rmse_mean
405841,4,4,0,17.097345741589862,17.079043845335644,-0.018301896254221628,0.5842618251840274,0.4787693360199531,-0.10549248916407425,17.967055451338673
dl3dv-2,6,6,0,11.14536346518804,12.260602156321209,0.5539434274037681,0.636625710579138,0.5850328514973323,-0.03629278341929119,0.985364816207413
re10k-1,4,4,0,16.053288729985557,16.731630190213522,0.6783414602279652,0.28118151451150575,0.24013415413598221,-0.04104736037552356,0.007782554179723863
