setting,model,ours_40000.PSNR,ours_40000.SSIM,ours_40000.LPIPS
colmap_108,3dgs,32.3807,0.9471,0.0921
colmap_108,scaffold,33.054,0.9517,0.0876
colmap_full,3dgs,34.2319,0.9603,0.0787
colmap_full,scaffold,34.3685,0.9609,0.0785
vggt_ba_108,3dgs,29.8128,0.9146,0.1205
vggt_ba_108,scaffold,29.2982,0.904,0.1395
