scene,ours_40000.LPIPS__3dgs__planA_colmap_full,ours_40000.LPIPS__3dgs__planA_colmap_108,ours_40000.LPIPS__3dgs__planB_vggt_108,ours_40000.LPIPS__scaffold__planA_colmap_full,ours_40000.LPIPS__scaffold__planA_colmap_108,ours_40000.LPIPS__scaffold__planB_vggt_108,ours_40000.PSNR__3dgs__planA_colmap_full,ours_40000.PSNR__3dgs__planA_colmap_108,ours_40000.PSNR__3dgs__planB_vggt_108,ours_40000.PSNR__scaffold__planA_colmap_full,ours_40000.PSNR__scaffold__planA_colmap_108,ours_40000.PSNR__scaffold__planB_vggt_108,ours_40000.SSIM__3dgs__planA_colmap_full,ours_40000.SSIM__3dgs__planA_colmap_108,ours_40000.SSIM__3dgs__planB_vggt_108,ours_40000.SSIM__scaffold__planA_colmap_full,ours_40000.SSIM__scaffold__planA_colmap_108,ours_40000.SSIM__scaffold__planB_vggt_108
Re10k-1,0.0424143299460411,0.0515087842941284,0.1051095202565193,0.0438468493521213,0.049136858433485,0.0874304249882698,35.16493225097656,33.50346374511719,26.597286224365234,34.86205291748047,33.79910659790039,27.42291831970215,0.9775859117507936,0.9693589210510254,0.9110803604125975,0.9769328236579896,0.9711536765098572,0.9212004542350768
DL3DV-2,0.0677858740091323,0.0844553336501121,0.1231952384114265,0.0563631653785705,0.0648043677210807,0.1046403795480728,34.76057815551758,32.28788375854492,28.4884090423584,36.18194580078125,34.49934768676758,29.63804817199707,0.9657483100891112,0.9506842494010924,0.901900589466095,0.971939206123352,0.965335249900818,0.9110594987869264
405841,0.1258290112018585,0.1403086483478546,0.2019626200199127,0.1353618204593658,0.1488384753465652,0.1874584853649139,32.770301818847656,31.350622177124023,27.503835678100582,32.0613899230957,30.863672256469727,27.949621200561523,0.9377030730247498,0.9212988018989564,0.8495239615440369,0.9339097738265992,0.918527126312256,0.8572136163711548
