model,setting,ours_40000.PSNR,ours_40000.SSIM,ours_40000.LPIPS
3dgs,planA_colmap_full,34.231937408447266,0.9603457649548849,0.07867640505234397
3dgs,planA_colmap_108,32.38065656026205,0.9471139907836914,0.09209092209736502
3dgs,planB_vggt_108,27.52984364827474,0.8875016371409098,0.14342245956261948
scaffold,planA_colmap_full,34.368462880452476,0.9609272678693136,0.07852394506335253
scaffold,planA_colmap_108,33.054042180379234,0.9516720175743103,0.0875932338337103
scaffold,planB_vggt_108,28.336862564086914,0.8964911897977194,0.12650976330041883
