display_order,dataset_label,scene_label,status,run_name,test_output_label,test_protocol,ckpt_from_name,profile_from_name,target_sample_rate,target_n_views,sample_rate_from_name,n_views_from_name,submap_every_from_name,protocol_match,n_train_frames,n_test_frames,train_avg_psnr,test_avg_psnr,psnr_drop_train_to_test,train_avg_ssim,test_avg_ssim,ssim_drop_train_to_test,train_avg_lpips,test_avg_lpips,lpips_increase_train_to_test,ate_rmse,ate_mean,ate_median,ate_std,generalization_risk,analysis_key
1,Re10k-1,Re10k,available,reggs_re10k1_sr30_nv8,sampled,sampled_test,,,30,8,30.0,8.0,,True,8.0,9.0,42.27503252029419,25.001969231499565,17.273063288794624,0.9973039999604224,0.8791745106379191,0.1181294893225034,0.0042704157240223,0.1436300608846876,0.1393596451606653,0.010643007092227,0.0096554776600002,0.0093891032855089,0.0044772034935249,high_gap,re10k__reggs_re10k1_sr30_nv8__test-sampled
2,DL3DV-2,DL3DV,available,reggs_dl3dv2_re10k-ckpt_sr30_nv8,sampled,sampled_test,re10k,,30,8,30.0,8.0,,True,8.0,10.0,52.825459480285645,15.689011573791504,37.13644790649414,0.9993310421705246,0.4469302356243133,0.5524008065462113,0.0013654725244123,0.4664561510086059,0.4650906784841936,2.325984345867509,1.9373543404863307,1.6262766394906685,1.2871912587566303,high_gap,dl3dv_2__reggs_dl3dv2_re10k-ckpt_sr30_nv8__test-sampled
3,405841,405841-A,available,reggs_405841_scene_A_sr10_nv4,sampled,sampled_test,,,10,4,10.0,4.0,,True,4.0,2.0,49.94065475463867,19.048076629638672,30.892578125,0.9876660108566284,0.5611445903778076,0.4265214204788208,0.0796657255850732,0.5879881978034973,0.5083224722184241,0.6616531506994158,0.6121674309965616,0.5417856048401759,0.2510695685612532,high_gap,405841__reggs_405841_scene_A_sr10_nv4__test-sampled
5,405841,405841-C,available,reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12,sampled,sampled_test,dl3dv,,10,4,10.0,12.0,,False,12.0,13.0,45.94860458374024,13.001392437861517,32.94721214587872,0.9880892386039098,0.3291568564107784,0.6589323821931314,0.0802425413082043,0.6346755486268264,0.5544330073186221,18.46627427170628,15.963133420775968,15.918396180045296,9.283407610806854,high_gap,405841__reggs_405841_scene_C_dl3dv-ckpt_sr10_nv12__test-sampled
