experiment_name,scene,plan,variant,model,run_name,iter,split,l1,psnr,log_path
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,22000,train,0.009972096979618074,34.796180725097656,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,24000,test,0.0139885945910854,31.320979799543107,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,24000,train,0.009499965794384481,35.07246627807617,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,26000,test,0.014010774370815072,31.31414794921875,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,26000,train,0.009977697208523751,34.924678802490234,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,28000,test,0.013786496062363896,31.376417977469305,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,28000,train,0.009666312485933304,35.16324234008789,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,30000,test,0.01396784053317138,31.33721910204206,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,30000,train,0.010052849911153317,34.97745895385742,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
405841__planA__colmap_108__3dgs__default_40k_eval2k,405841,planA,colmap_108,3dgs,default_40k_eval2k,32000,test,0.013841239535915,31.326074191502162,/home/bzhang512/CV_Project/output/part1/405841/planA/colmap_108/3dgs/logs/405841__planA__colmap_108__3dgs_default_40k_eval2k.log
