model,dataset,protocol,mode,run_name,num_frames,psnr,ssim,lpips,ate_rmse,ate_mean,ate_median,ate_std
reggs,405841,external,full,reggs_405841_scene_full_dl3dv-ckpt_sr30_nv20_sm2_stable_v1,,16.680513056962848,0.4812841236424846,0.5235091968122141,19.29405975341797,16.7898006439209,15.761176109313965,9.505967140197754
s3po,405841,external,unknown,infer_405841_full__2026-04-04-00-43-20,,16.106162428189922,0.5643518132537437,0.5420013317349237,2.788894988058788,2.3671353228504928,2.4865059217297976,1.4746544062026594
s3po,405841,external,unknown,infer_405841_sparse__2026-04-04-00-43-23,,16.394062974599485,0.5680489839788255,0.5403308783496559,2.840060105141648,2.409463618787,2.454233679065548,1.503471473144417
s3po,405841,internal,full,2026-04-04-00-43-20,,21.003830904401216,0.7372005055736564,0.3743037799550168,0.6126763947784072,0.550351252777797,0.5600227464960688,0.2692319878554107
s3po,405841,internal,sparse,2026-04-04-00-43-23,,18.80484771728516,0.6732204705476761,0.5507560521364212,0.9538235634793244,0.8507952681954334,0.824989902690884,0.4311923026500558
s3po,405841,internal_after,full,2026-04-04-00-43-20,,24.01606414837544,0.7663323013476153,0.2795942471513535,0.6126763947784072,0.550351252777797,0.5600227464960688,0.2692319878554107
s3po,405841,internal_after,sparse,2026-04-04-00-43-23,,20.488021850585938,0.7066462486982346,0.3440796136856079,0.9538235634793244,0.8507952681954334,0.824989902690884,0.4311923026500558
reggs,dl3dv_2,external,full,reggs_dl3dv2_dl3dv-ckpt_sr30_nv10,,15.792936102764026,0.4430072599568883,0.4816313365071609,1.873074293136597,1.442458152770996,0.8742092847824097,1.1948732137680054
s3po,dl3dv_2,external,unknown,infer_dl3dv2_full__2026-04-04-02-11-11,,11.355959465374818,0.3724353124664442,0.6296354605740792,1.5106257560257257,1.3889719730904015,1.21297959518487,0.5939251070106837
s3po,dl3dv_2,external,unknown,infer_dl3dv2_sparse__2026-04-04-00-43-38,,12.293695343507302,0.4117458035817017,0.5777863116079086,2.003895501741535,1.7374777967203965,1.2790592552994262,0.998382736130586
s3po,dl3dv_2,internal,full,2026-04-04-02-11-11,,16.59465622257542,0.569445429621516,0.4335499648508188,0.4634558553127063,0.3941263134931234,0.3296489219633054,0.2438355569558149
s3po,dl3dv_2,internal,sparse,2026-04-04-00-43-38,,,,,0.0900153843908538,0.0798349646574167,0.0751436644149695,0.0415830235214106
s3po,dl3dv_2,internal_after,full,2026-04-04-02-11-11,,17.47825269441347,0.6147324532471798,0.3537655006087309,0.4634558553127063,0.3941263134931234,0.3296489219633054,0.2438355569558149
s3po,dl3dv_2,internal_after,sparse,2026-04-04-00-43-38,,,,,0.0900153843908538,0.0798349646574167,0.0751436644149695,0.0415830235214106
reggs,re10k_1,external,full,reggs_re10k1_re10k-ckpt_sr50_nv9_sm2_comparison_check,,26.024956123917192,0.8950996368019669,0.1276927331522866,0.0107973590493202,0.0101172588765621,0.0098471352830529,0.0037714794743806
s3po,re10k_1,external,unknown,infer_re10k1_full__2026-04-04-02-11-09,,13.145818403032091,0.4959713198520519,0.3894231795712753,0.0477139652325167,0.0412146988375187,0.0323428614402404,0.0240410290533172
s3po,re10k_1,external,unknown,infer_re10k1_sparse__2026-04-04-00-43-29,,13.326498805152044,0.5026734039739326,0.3790867326712167,0.0473225861197365,0.0406740098791206,0.0329240661072927,0.0241878497889555
s3po,re10k_1,internal,full,2026-04-11-05-33-58,,16.894991888823334,0.7000647926772082,0.2808826818510338,0.007236828649254,0.0063810371180324,0.0058049364943961,0.0034138034795454
s3po,re10k_1,internal,sparse,2026-04-04-00-43-29,,,,,0.0075337201832578,0.0065427298258473,0.0055217129963328,0.0037349198419234
s3po,re10k_1,internal_after,full,2026-04-11-05-33-58,,23.94890858685529,0.8734854221343994,0.0787798319839769,0.007236828649254,0.0063810371180324,0.0058049364943961,0.0034138034795454
s3po,re10k_1,internal_after,sparse,2026-04-04-00-43-29,,,,,0.0075337201832578,0.0065427298258473,0.0055217129963328,0.0037349198419234
